#Distance(A)    Macroscopic-Average    Planar-Average
 46.1409            -0.00003             0.00002
 46.2035            -0.00002             0.00001
 46.2661            -0.00000             0.00006
 46.3287             0.00001             0.00014
 46.3913             0.00003             0.00023
 46.4539             0.00004             0.00032
 46.5165             0.00005             0.00038
 46.5791             0.00006             0.00041
 46.6417             0.00008             0.00043
 46.7043             0.00009             0.00042
 46.7669             0.00010             0.00038
 46.8295             0.00012             0.00032
 46.8922             0.00013             0.00023
 46.9548             0.00013             0.00012
 47.0174             0.00014             0.00000
 47.0800             0.00014            -0.00012
 47.1426             0.00014            -0.00023
 47.2052             0.00014            -0.00032
 47.2678             0.00015            -0.00039
 47.3304             0.00017            -0.00042
 47.3930             0.00020            -0.00042
 47.4556             0.00024            -0.00037
 47.5182             0.00028            -0.00025
 47.5808             0.00032            -0.00007
 47.6434             0.00038             0.00015
 47.7060             0.00043             0.00038
 47.7686             0.00049             0.00058
 47.8312             0.00055             0.00068
 47.8939             0.00061             0.00066
 47.9565             0.00068             0.00054
 48.0191             0.00074             0.00036
 48.0817             0.00080             0.00020
 48.1443             0.00087             0.00013
 48.2069             0.00093             0.00019
 48.2695             0.00100             0.00039
 48.3321             0.00106             0.00069
 48.3947             0.00112             0.00103
 48.4573             0.00118             0.00138
 48.5199             0.00123             0.00169
 48.5825             0.00127             0.00194
 48.6451             0.00130             0.00213
 48.7077             0.00133             0.00227
 48.7703             0.00134             0.00235
 48.8330             0.00135             0.00238
 48.8956             0.00135             0.00236
 48.9582             0.00135             0.00231
 49.0208             0.00135             0.00224
 49.0834             0.00135             0.00214
 49.1460             0.00136             0.00203
 49.2086             0.00137             0.00192
 49.2712             0.00137             0.00179
 49.3338             0.00137             0.00166
 49.3964             0.00135             0.00154
 49.4590             0.00133             0.00141
 49.5216             0.00129             0.00129
 49.5842             0.00125             0.00117
 49.6468             0.00119             0.00106
 49.7094             0.00113             0.00096
 49.7720             0.00106             0.00086
 49.8347             0.00100             0.00077
 49.8973             0.00093             0.00069
 49.9599             0.00086             0.00061
 50.0225             0.00079             0.00054
 50.0851             0.00072             0.00048
 50.1477             0.00066             0.00042
 50.2103             0.00059             0.00037
 50.2729             0.00054             0.00033
 50.3355             0.00048             0.00029
 50.3981             0.00043             0.00025
 50.4607             0.00039             0.00021
 50.5233             0.00034             0.00018
 50.5859             0.00030             0.00016
 50.6485             0.00027             0.00013
 50.7111             0.00023             0.00011
 50.7737             0.00020             0.00010
 50.8364             0.00018             0.00008
 50.8990             0.00015             0.00007
 50.9616             0.00013             0.00005
 51.0242             0.00011             0.00004
